,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
1256,12.55,0.0,0.0,0.0,0.0,-0.1123854462000239,-0.5573980422175601,-0.17045636439605474,0.1480360490817672,-1.5457542549879162,-1.5536301033673383,-0.007875848379422123,-0.4450125960175362
1257,12.56,0.0,0.0,0.0,0.0,-0.11409859196017887,-0.5556684211739485,-0.17214282344457116,0.1978130830383608,-1.546886661132774,-1.5591958504500143,-0.012309189317240232,-0.4415698292137697
1258,12.57,0.0,0.0,0.0,0.0,-0.11582768076319055,-0.5534433929416258,-0.1736427341046081,0.24710647511959818,-1.5480362800048533,-1.5647418202564893,-0.016705540251636064,-0.43761571217843526
1259,12.58,0.0,0.0,0.0,0.0,-0.11757078063308649,-0.5507281223354386,-0.17494286782332388,0.29585075058499105,-1.5492032614849218,-1.5702630839933989,-0.021059822508477044,-0.4331573417023521
1260,12.59,0.0,0.0,0.0,0.0,-0.11932582948271131,-0.5475284225376347,-0.17603043865073084,0.34398173496084655,-1.5503877354797446,-1.5757547677681978,-0.025367032288453162,-0.42820259305492336
1261,12.6,0.0,0.0,0.0,0.0,-0.12109063976663892,-0.5438507413805123,-0.1768931480930719,0.3914366956178308,-1.551589810643862,-1.581212059005427,-0.02962224836156513,-0.42276010161387334
1262,12.61,0.0,0.0,0.0,0.0,-0.12286290356646393,-0.5397021462551999,-0.17751922669119188,0.43815447485709164,-1.552809573150087,-1.5866302127188672,-0.03382063956878012,-0.41683924268873596
1263,12.620000000000001,0.0,0.0,0.0,0.0,-0.12464019807447153,-0.5350903077345972,-0.1778974720809818,0.484075613900505,-1.5540470855128778,-1.592004557626275,-0.03795747211339706,-0.4104501096601257
1264,12.63,0.0,0.0,0.0,0.0,-0.12641999143947555,-0.5300234820039891,-0.17801728333760652,0.5291424672945574,-1.5553023854683856,-1.5973305020943036,-0.04202811662591799,-0.4036034905645135
1265,12.64,0.0,0.0,0.0,0.0,-0.12819964893686667,-0.52451049219715,-0.17786869145122583,0.5732993073542727,-1.5565754849146183,-1.6026035399021838,-0.04602805498756557,-0.3963108432602833
1266,12.65,0.0,0.0,0.0,0.0,-0.12997643942361248,-0.5185607087389342,-0.17744238582848945,0.6164924183907452,-1.5578663689147596,-1.607819255813702,-0.049952886898942506,-0.38858426931532175
1267,12.66,0.0,0.0,0.0,0.0,-0.13174754203813654,-0.5121840287972996,-0.17672973676050976,0.6586701805824092,-1.559174994766297,-1.6129733309480718,-0.05379833618177487,-0.3804364867591631
1268,12.67,0.0,0.0,0.0,0.0,-0.13351005310463332,-0.5053908549485585,-0.1757228138435319,0.6997831434631783,-1.5605012911382041,-1.6180615479413025,-0.0575602568030984,-0.3718808018439252
1269,12.68,0.0,0.0,0.0,0.0,-0.13526099320146137,-0.4981920731593658,-0.17441440038255085,0.7397840891092611,-1.5618451572780214,-1.6230797958907204,-0.061234638612698955,-0.3629310799579044
1270,12.69,0.0,0.0,0.0,0.0,-0.1369973143537712,-0.4905990301876196,-0.17279800384999852,0.77862808520879,-1.5632064622902724,-1.6280240750763182,-0.06481761278604581,-0.35360171583384836
1271,12.700000000000001,0.0,0.0,0.0,0.0,-0.1387159073114438,-0.48262351050212426,-0.17086786251079147,0.816272528293228,-1.5645850444872673,-1.6328905014536268,-0.06830545696635948,-0.3439076031906805
1272,12.71,0.0,0.0,0.0,0.0,-0.1404136088747101,-0.4742777128176502,-0.16861894836115568,0.85267717749583,-1.5659807108129526,-1.637675310913778,-0.0716946001008254,-0.3338641039429401
1273,12.72,0.0,0.0,0.0,0.0,-0.1420872092314675,-0.4655742263379461,-0.1660469665611358,0.8878041792792079,-1.5673932363401075,-1.64237486330739,-0.0749816269672825,-0.3234870171064786
1274,12.73,0.0,0.0,0.0,0.0,-0.1437334592722455,-0.4565260067945512,-0.16314835156949437,0.9216180836405307,-1.5688223638408263,-1.6469856462297832,-0.07816328238895687,-0.3127925475223057
1275,12.74,0.0,0.0,0.0,0.0,-0.14534907785099704,-0.4471463523638275,-0.15992026021436737,0.9540858523590318,-1.570267803429907,-1.6515042785659126,-0.08123647513600574,-0.30179727451283045
1276,12.75,0.0,0.0,0.0,0.0,-0.1469307589623254,-0.43744887953878253,-0.15636056195360434,0.9851768598955608,-1.5717292322804524,-1.655927513794183,-0.08419828151373054,-0.2905181205764571
1277,12.76,0.0,0.0,0.0,0.0,-0.14847517880838307,-0.4274474990259641,-0.15246782659500857,1.0148628875882457,-1.5732062944107141,-1.660252243049051,-0.08704594863833681,-0.278972320217581
1278,12.77,0.0,0.0,0.0,0.0,-0.14997900273144482,-0.41715639173114333,-0.1482413097587637,1.0431181118118467,-1.5746986005409513,-1.6644754979429912,-0.08977689740203987,-0.2671773889996985
1279,12.780000000000001,0.0,0.0,0.0,0.0,-0.1514388919910231,-0.4065899848907505,-0.14368093637224053,1.0699190867815704,-1.5762057280188557,-1.6685944531490027,-0.09238872513014695,-0.25515109289972737
1280,12.790000000000001,0.0,0.0,0.0,0.0,-0.1528515103673169,-0.3957629283992084,-0.13878728249129102,1.095244722685287,-1.577727220811891,-1.6726064287453666,-0.09487920793347548,-0.2429114180318915
1281,12.8,0.0,0.0,0.0,0.0,-0.15421353057573514,-0.384690071375454,-0.1335615557421448,1.1190762598220263,-1.579262589564738,-1.6765088923248486,-0.09724630276011048,-0.23047654079971888
1282,12.81,0.0,0.0,0.0,0.0,-0.15552164048015246,-0.3733864390052917,-0.12800557467450457,1.141397239409631,-1.580811311719883,-1.6802994608709088,-0.09948814915102577,-0.21786479852513926
1283,12.82,0.0,0.0,0.0,0.0,-0.15677254909543878,-0.3618672096896357,-0.12212174730946385,1.1621934717018905,-1.582372831699294,-1.6839759024038474,-0.10160307070455343,-0.20509466059419693
1284,12.83,0.0,0.0,0.0,0.0,-0.15796299237258696,-0.3501476925224785,-0.11591304915587908,1.18145300202548,-1.5839465611450405,-1.6875361374000628,-0.1035895762550223,-0.19218470014989156
1285,12.84,0.0,0.0,0.0,0.0,-0.15908973876243948,-0.33824330511648126,-0.10938300095606965,1.1991660753110427,-1.5855318792166577,-1.690978239987814,-0.10544636077115621,-0.17915356635404178
1286,12.85,0.0,0.0,0.0,0.0,-0.1601495945565489,-0.32616955178854384,-0.10253564640646302,1.2153250996512412,-1.5871281329430356,-1.6943004389230323,-0.10717230597999672,-0.16601995723199495
1287,12.86,0.0,0.0,0.0,0.0,-0.1611394090060785,-0.31394200211261103,-0.09537553008147436,1.2299246093726786,-1.5887346376266038,-1.6975011183488202,-0.10876648072221638,-0.15280259310653252
1288,12.870000000000001,0.0,0.0,0.0,0.0,-0.16205607922183793,-0.3015762698423439,-0.08790767576972286,1.2429612280589735,-1.5903506772976097,-1.7005788183423267,-0.11022814104471701,-0.139520190620506
