,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
859,8.58,-15.017961878106245,-9.868720300977918,196.80285712890344,-37.65035969203379,2.288942702674512,3.13184553790336,-1.2174432979904528,-0.047209045782646265,-0.19685726411031415,-2.804471968849589,2.0578004700557155,2.899898701206098,12.373561480940745,9.761052646254905,-2.607614704739275,0.8429028352288479
860,8.59,-19.884010122192564,-9.765306504799431,192.7402101392441,-37.25380482240682,2.276484398581981,3.1306306395480523,-1.3918072099308314,-0.25668993945079566,-0.17402966022769967,-2.7731583437226743,2.0431277594055746,2.897563284281545,12.394066781029197,9.790040980086328,-2.5991286834949747,0.8541462409660712
861,8.6,-24.688899100329166,-9.642762969743934,188.6444064497334,-36.81535503429534,2.262298640426816,3.1272781835909274,-1.5617504160727904,-0.4600995256943377,-0.15133530382365606,-2.7418674845407236,2.0276863824146143,2.8940260427075497,12.414421473885962,9.818999905827582,-2.5905321807170676,0.8649795431641114
862,8.61,-29.413474338249923,-9.502392893378264,184.5360535685657,-36.33679023053879,2.246429839610263,3.1218498942074855,-1.726649729008044,-0.6568850397524456,-0.12879124770891842,-2.710620459985107,2.0115205525395217,2.8893408224952943,12.434618093834667,9.847917674343861,-2.5818292122761886,0.8754200545972224
863,8.620000000000001,-34.03926436036373,-9.345607548346923,180.43524857643564,-35.82004497422,2.2289285826000818,3.1144132798551385,-1.8859227297944616,-0.8465442003556648,-0.10641406960918025,-2.6794376929979884,1.9946744840954305,2.8835614832023695,12.454649617495043,9.876783075239468,-2.573023623388808,0.8854846972550567
864,8.63,-38.54857919672156,-9.173912743626666,176.36146553727832,-35.26719109666962,2.209851222997423,3.105041114896723,-2.0390303574479614,-1.0286264249794967,-0.08421981245382297,-2.648338905508377,1.9771922116371015,2.876741657143976,12.474509462875005,9.90558543576826,-2.564119093054554,0.8951898918993
865,8.64,-42.924599789790484,-8.988894476166355,172.3334518711154,-34.68041945827508,2.189259448157929,3.093810906248614,-2.185479021365233,-1.2027336379856612,-0.06222392887191979,-2.617343068412144,1.9591174252753218,2.8689345333149148,12.494191486736488,9.934314617460736,-2.555119139540224,0.904551458090685
866,8.65,-47.15145804609955,-8.792203857697011,168.36913406715308,-34.06202098048091,2.1672198251256867,3.080804349432651,-2.3248222407719714,-1.368520657343323,-0.040441230126246945,-2.5864683569344806,1.9404933214763929,2.860192664717451,12.513689980392341,9.962961010708554,-2.5460271268082337,0.9135845243069642
867,8.66,-51.21430738529615,-8.58554143207062,164.48553299738234,-33.41436709510393,2.1438033305924193,3.0661067785924,-2.456661821989128,-1.5256951557057916,-0.018885839668508587,-2.555732111458451,1.9213624688240993,2.8505677977583574,12.532999664086432,9.99151552753374,-2.5368462717899423,0.9223034479999805
868,8.67,-55.099383736848196,-8.370641026818571,160.69868898247955,-32.73988978248198,2.1190848694816777,3.049806615105634,-2.5806485902276246,-1.6740172014898858,0.0024288485474772237,-2.5251508038575126,1.9017666881691053,2.840110722369446,12.552115680103855,10.019969592756636,-2.52757965240499,0.930721745623956
